Date;Open;High;Low;Close
19.09.2018;111950;111960;111940;111940
19.09.2018;111940;111970;111930;111970
19.09.2018;111950;111950;111950;111950
19.09.2018;111960;111960;111960;111960
19.09.2018;111970;111970;111950;111950
19.09.2018;111980;111980;111960;111960
19.09.2018;111980;112000;111970;111980
19.09.2018;111990;112000;111980;112000
19.09.2018;112010;112010;111980;112000
19.09.2018;112000;112030;111990;112020
19.09.2018;112020;112030;112010;112020
19.09.2018;112030;112030;112030;112030
19.09.2018;112020;112020;112010;112020
19.09.2018;112030;112030;112010;112030
19.09.2018;112010;112010;111980;111980
19.09.2018;111990;112010;111990;112000
19.09.2018;112000;112010;111990;111990
19.09.2018;111990;112010;111990;111990
19.09.2018;111990;112000;111980;111990
19.09.2018;112010;112020;112000;112010
19.09.2018;112000;112000;111990;111990
19.09.2018;111990;112020;111990;112000
19.09.2018;112000;112000;111990;112000
19.09.2018;111980;112000;111980;112000
19.09.2018;112000;112000;111970;111990
19.09.2018;111970;111990;111970;111970
19.09.2018;111970;111980;111970;111980
19.09.2018;111970;111970;111950;111970
19.09.2018;111970;111970;111940;111940
19.09.2018;111940;111970;111940;111950
19.09.2018;111950;111980;111950;111950
19.09.2018;111970;111980;111950;111950
19.09.2018;111960;111970;111950;111950
19.09.2018;111950;111950;111940;111950
19.09.2018;111950;111970;111950;111970
19.09.2018;111960;111960;111950;111960
19.09.2018;111950;111960;111950;111960
19.09.2018;111940;111960;111930;111930
19.09.2018;111930;111930;111890;111910
19.09.2018;111890;111910;111890;111890
19.09.2018;111890;111900;111870;111870
19.09.2018;111870;111900;111870;111890
19.09.2018;111900;111900;111890;111890
19.09.2018;111890;111900;111890;111900
19.09.2018;111890;111900;111890;111890
19.09.2018;111900;111900;111890;111890
19.09.2018;111900;111910;111880;111900
19.09.2018;111880;111880;111860;111860
19.09.2018;111880;111880;111850;111860
19.09.2018;111860;111880;111850;111850
19.09.2018;111870;111880;111850;111880
19.09.2018;111880;111880;111880;111880
19.09.2018;111870;111870;111840;111840
19.09.2018;111870;111880;111860;111860
19.09.2018;111860;111880;111860;111880
19.09.2018;111880;111880;111860;111880
19.09.2018;111880;111920;111880;111920
19.09.2018;111890;111900;111890;111900
19.09.2018;111900;111900;111900;111900
19.09.2018;111910;111910;111910;111910
19.09.2018;111910;111910;111900;111910
19.09.2018;111920;111940;111920;111940
19.09.2018;111920;111920;111910;111920
19.09.2018;111930;111960;111930;111940
19.09.2018;111950;111950;111950;111950
19.09.2018;111940;111950;111930;111940
19.09.2018;111930;111950;111930;111940
19.09.2018;111930;111940;111930;111940
19.09.2018;111940;111940;111930;111930
19.09.2018;111930;111930;111920;111920
19.09.2018;111920;111920;111920;111920
19.09.2018;111920;111930;111920;111930
19.09.2018;111930;111930;111910;111930
19.09.2018;111930;111930;111910;111920
19.09.2018;111910;111920;111910;111910
19.09.2018;111910;111920;111900;111920
19.09.2018;111920;111920;111900;111920
19.09.2018;111910;111920;111900;111920
19.09.2018;111920;111930;111910;111920
19.09.2018;111920;111930;111920;111920
19.09.2018;111920;111920;111900;111920
19.09.2018;111920;111940;111920;111940
19.09.2018;111930;111960;111900;111900
19.09.2018;111900;111910;111900;111910
19.09.2018;111910;111910;111910;111910
19.09.2018;111910;111910;111900;111900
19.09.2018;111900;111900;111890;111900
19.09.2018;111890;111900;111880;111890
19.09.2018;111870;111890;111870;111890
19.09.2018;111890;111890;111880;111880
19.09.2018;111870;111880;111870;111880
19.09.2018;111880;111880;111880;111880
19.09.2018;111880;111890;111880;111880
19.09.2018;111870;111880;111860;111880
19.09.2018;111880;111910;111870;111870
19.09.2018;111900;111900;111880;111880
19.09.2018;111870;111880;111870;111880
19.09.2018;111870;111890;111850;111860
19.09.2018;111860;111870;111790;111840
19.09.2018;111820;111820;111810;111820
19.09.2018;111820;111880;111820;111840
19.09.2018;111860;111910;111860;111880
19.09.2018;111880;111890;111880;111890
19.09.2018;111880;111930;111860;111930
19.09.2018;111910;111930;111880;111880
19.09.2018;111890;111890;111880;111880
19.09.2018;111880;111890;111880;111880
19.09.2018;111880;111880;111870;111870
19.09.2018;111850;111850;111810;111830
19.09.2018;111840;111840;111800;111830
19.09.2018;111840;111840;111840;111840
19.09.2018;111840;111840;111820;111830
19.09.2018;111830;111830;111820;111830
19.09.2018;111820;111840;111810;111810
19.09.2018;111830;111840;111810;111830
